Gautam Gambhir,KKR,211,207,19,5382,93,28.62,4455,120.8,0,44,622,76,42,0
Azhar Mahmood,KKR,230,207,47,4091,106,25.56,3023,135.32,2,18,383,138,45,0
Johan Botha,KKR,184,134,45,1747,67,19.62,1557,112.2,0,2,132,37,80,0
Piyush Chawla,KKR,179,107,36,1084,45,15.26,873,124.16,0,0,92,40,47,0
Brad Hogg,KKR,125,43,20,340,54,14.78,318,106.91,0,1,17,8,29,0
Kuldeep Yadav,KKR,24,4,3,22,17,22,18,122.22,0,0,3,0,6,0
Sunil Narine,KKR,196,67,31,401,30,11.13,327,122.62,0,0,24,23,37,0
Morne Morkel,KKR,159,41,22,185,23,9.73,157,117.83,0,0,15,6,25,0
Manish Pandey,KKR,141,132,18,2950,114,25.87,2510,117.52,1,13,266,79,69,2
Andre Russell,KKR,222,183,46,3364,100,24.55,2020,166.53,1,12,,,95,0
Robin Uthappa,KKR,198,192,20,5059,92,29.41,3811,132.74,0,26,527,159,96,32
Rohit Sharma,MI,236,225,39,6209,109,33.38,4716,131.65,3,43,530,254,91,0
Corey Anderson,MI,72,57,9,1097,95,22.85,823,133.29,0,4,75,60,35,0
Aiden Blizzard,MI,94,90,10,2023,89,25.28,1517,133.35,0,10,224,64,26,0
Jasprit Bumrah,MI,82,11,7,35,14,8.75,42,83.33,0,0,2,2,11,0
Unmukt Chand,MI,59,57,3,1188,125,22,1000,118.8,3,2,116,49,38,1
Harbhajan Singh,MI,209,125,44,1341,78,16.55,966,138.81,0,2,127,69,64,0
Ben Hilfenhaus,MI,77,32,17,134,38,8.93,144,93.05,0,0,4,5,14,0
Lasith Malinga,MI,221,66,24,287,37,6.83,293,97.95,0,0,18,16,42,0
Pragyan Ojha,MI,134,37,20,72,11,4.23,105,68.57,0,0,0,3,21,0
Parthiv Patel,MI,156,153,11,3173,82,22.34,2644,120,0,17,408,55,91,22
Kieron Pollard,MI,327,293,87,6354,89,30.84,4183,151.9,0,30,415,415,185,0
Shane Watson,RR,207,200,24,5300,124,30.11,3794,139.69,3,32,469,270,65,0
Ankit Sharma,RR,46,26,7,188,41,9.89,167,112.57,0,0,17,7,9,0
Stuart Binny,RR,107,80,23,1136,49,19.92,891,127.49,0,0,85,43,27,0
Rajat Bhatia,RR,137,87,36,1133,107,22.21,956,118.51,1,1,77,40,40,0
Ben Cutting,RR,58,46,15,720,42,23.22,462,155.84,0,0,38,48,24,0
James Faulkner,RR,134,99,42,1260,73,22.1,986,127.78,0,1,61,50,42,0
Dhawal Kulkarni,RR,96,29,18,142,28,12.9,143,99.3,0,0,9,3,21,0
Chris Morris,RR,123,70,32,931,82,24.5,611,152.37,0,1,61,48,48,0
Ajinkya Rahane,RR,143,137,17,3682,103,30.68,3109,118.43,1,30,378,69,62,0
Sanju Samson,RR,91,86,10,1937,87,25.48,1637,118.32,0,13,156,70,55,6
Steven Smith,RR,140,121,29,2652,101,28.82,2105,125.98,1,8,227,61,80,0
David Warner,SRH,222,221,22,6921,135,34.77,4819,143.61,5,54,692,288,99,0
Moises Henriques,SRH,136,119,25,2293,77,24.39,1852,123.81,0,8,185,64,64,0
Shikhar Dhawan,SRH,160,159,19,4299,95,30.7,3601,119.38,0,32,488,89,61,0
Bhuvneshwar Kumar,SRH,102,41,18,216,24,9.39,212,101.88,0,0,19,4,22,0
Praveen Kumar,SRH,162,81,28,638,76,12.03,539,118.36,0,1,52,28,22,0
Eoin Morgan,SRH,200,187,28,4269,85,26.84,3318,128.66,0,20,345,172,94,0
Naman Ojha,SRH,141,130,19,2276,94,20.5,1911,119.09,0,10,202,115,92,20
Kevin Pietersen,SRH,159,154,23,4551,115,34.74,3343,136.13,3,26,408,169,56,0
Lokesh Rahul,SRH,58,48,10,1229,110,32.34,965,127.35,1,7,103,42,20,4
Kane Williamson,SRH,103,95,10,2296,101,27.01,1932,118.84,1,12,242,35,45,0
Dale Steyn,SRH,179,54,22,256,27,8,224,114.28,0,0,20,8,46,0
